title,description,directions,images,ingredients,meal_type,prep,servings,total
Banana Zucchini Bread,"This banana zucchini bread with cinnamon, walnuts, and cranberries combines everyone&#39;s favorite flavors in a moist and delicious breakfast treat.","Step1: Preheat the oven to 325 degrees F (165 degrees C). Grease and flour two 8x4-inch bread loaf pans. Step2: Beat eggs in a large bowl with an electric mixer until light yellow and frothy. Add white sugar, zucchini, oil, bananas, brown sugar, and vanilla; beat until well combined. Stir in flour, cinnamon, baking powder, baking soda, and salt. Fold in cranberries and nuts. Divide batter evenly between the prepared loaf pans. Step3: Bake in the preheated oven until a toothpick inserted into the center comes out clean, 45 to 50 minutes. Allow to cool in the loaf pans on a wire rack before removing and serving.",11.jpg,"3 large eggs, 1 cup white sugar, 1 cup grated zucchini, 0.75 cup vegetable oil, 2 bananas, mashed, 0.66666668653488 cup packed brown sugar, 2 teaspoons vanilla extract, 3.5 cups all-purpose flour, 1 tablespoon ground cinnamon, 1.5 teaspoons baking powder, 1 teaspoon baking soda, 1 teaspoon salt, 0.5 cup dried cranberries, 0.5 cup chopped walnuts",dessert,15,20,60
Chocolate Cereal Breakfast Bars,Make your own chewy energy/granola bars with a not-too-sweet chocolate flavor with hints of coconut and almond.,"Step1: Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8 pan with butter and line with parchment paper. Step2: Combine rolled oats, puffed brown rice cereal, almonds, coconut, cocoa powder, salt, and cayenne in a bowl. Step3: Combine brown sugar, maple syrup, vegetable oil, and water in a small saucepan and bring to a simmer over medium-high heat. Stir, and let the mixture boil for 1 minute. Step4: Pour sugar mixture over the dry ingredients in the bowl and mix thoroughly. Transfer to the prepared pan, and smooth out the top, pressing lightly with a spatula. Step5: Bake in the preheated oven for 25 minutes. While still hot, use a spatula to score the pan into 8 portions. Let cool to room temperature before breaking into bars. You can also not score, and simply let cool, then cut with a knife.",12.jpg,"1.5 cups rolled oats, 1 cup puffed brown rice cereal, 0.5 cup chopped raw almonds, 0.33 cup shredded coconut, 3 tablespoons unsweetened cocoa powder, 1 teaspoon kosher salt, tiny pinch cayenne pepper, 0.33 cup packed brown sugar, 0.5 cup maple syrup, 2 tablespoons vegetable oil, 1 tablespoon water",breakfast,10,8,25
Homemade Crispy Hash Browns,"These crispy, homemade hash browns are quick, easy, and family-friendly, making them perfect as a side dish for any breakfast or brunch on weekdays or weekends.","Step1: Gather all ingredients. Step2: Rinse shredded potatoes until water is clear, then drain and squeeze dry. Step3: Place shreds in a bowl and mix in the onion, flour, and egg until evenly distributed. Step4: Heat about 1/4 inch of oil in a large heavy skillet over medium-high heat. When oil is sizzling hot, place potatoes into the pan in a 1/2 inch thick layer. Cover the whole bottom of the pan, or make separate piles like pancakes. Step5: Cook until nicely browned on the bottom, then flip over and brown on the other side. It should take at least 5 minutes per side. If you are cooking them in one big piece, it can be cut into quarters for easier flipping. Step6: Remove from pan, and drain on paper towels. Season with salt and pepper and serve immediately. Step7: Serve hot and enjoy!",13.jpg,"2 medium russet potatoes, shredded, 0.5 medium onion, finely chopped, 0.25 cup all-purpose flour, 1 egg, 1 cup oil for frying, or as needed, salt and pepper to taste",breakfast,20,4,35
"Sausage, Egg, and Cheese Breakfast Cookies","Try these savory breakfast cookies with sausage, egg, and cheese that you can easily customize to your liking.","Step1: Preheat the oven to 375 degrees F (190 degrees C). Line a large baking sheet with parchment paper Step2: Heat a non stick skillet over medium heat and cook sausage until crumbly, 3 to 5 minutes. Add in the onion and cook, stirring and breaking up the sausage until it is no longer pink. Transfer mixture to a paper towel-lined plate and drain for 3 to 5 minutes. Step3: Meanwhile, combine flour, baking powder, salt, pepper, Parmesan cheese, and parsley in a large bowl; whisking until well combined. Whisk in eggs until well combined. Add 3/4 cup Cheddar cheese and stir until mixed in. Spoon in sausage mixture and mix to form a thick batter. Step4: Scoop out about a 1/4 cup of the mixture and drop onto the prepared baking sheet. Sprinkle each &#39;cookie&#39; with Cheddar cheese and slightly flatten with your fingers. Step5: Bake in the preheated oven until firm, about 10 minutes. If cookie is still a little soft, cook for 2 minutes longer. Remove from the oven and allow to cool slightly before serving.",14.jpg,"4 ounces breakfast sausage, 0.5 finely minced white onion, 0.75 cup all-purpose flour, 1 teaspoon baking powder, 0.5 teaspoon salt, 0.5 teaspoon freshly ground black pepper, 3 medium eggs, lightly beaten, 1 cup shredded Cheddar cheese, divided, 1 pinch freshly grated Parmesan cheese, 0.13 teaspoon dried parsley",breakfast,15,11,35
Air Fryer Cherry Cream Cheese Croissants,A quick and easy recipe for croissants filled with cream cheese and cherries and cooked in the air fryer.,"Step1: Lightly dust a work surface with flour. Unroll crescent dough and divide into triangles along the perforated lines. Step2: Spread each triangle with cream cheese. Step3: Drop 3 or 4 cherries on the wider portion of each crescent dough triangle. Carefully roll up each crescent, making sure the cherries stay tucked in. Fold down the ends of each roll slightly so it forms a crescent shape. Step4: Spray the basket of the air fryer with non stick cooking spray spray. Carefully set the croissants into the basket. Step5: Set air fryer to 400 degrees F (200 degrees C). Step6: Air fry croissants until puffed up and lightly browned, about 5 minutes. Check to make sure croissants are not sticking to each other and that they are not overly browned. Continue cooking for 2 to 3 minutes longer, making sure they do not get too done. Step7: Transfer croissants to a plate and sprinkle with cinnamon.",15.jpg,"flour for dusting, 1 (8 ounce) package refrigerated crescent roll dough (such as Pillsbury®, 1 (8 ounce) tub cream cheese, 1 (15 ounce) can pitted sour cherries, drained, cooking spray, ground cinnamon to taste",breakfast,10,8,15
Pumpkin Waffles with Apple Cider Syrup,These waffles contain two of our favorite seasonal flavors: pumpkin and apple cider.,"Step1: Preheat a waffle iron according to manufacturer&#39;s instructions. Step2: Combine the flour, baking powder, cinnamon, allspice, ginger, salt, and brown sugar in a mixing bowl. In a separate bowl, stir together the pumpkin, milk, and egg yolks. Whip the egg whites in a clean dry bowl until soft peaks form. Step3: Stir the flour mixture and 1/4 cup melted butter to the pumpkin mixture, stirring just to combine. Use a whisk or rubber spatula to fold 1/3 of the egg whites into the batter, stirring gently until incorporated. Fold in the remaining egg whites. Cook waffles according to manufacturer&#39;s instructions. Step4: To make the syrup, stir together the sugar, cornstarch, and cinnamon in a saucepan. Stir in the apple cider and lemon juice. Cook over medium heat until mixture begins to boil; boil until the syrup thickens. Remove from heat and stir in the 2 tablespoons of butter until melted. Serve warm.",16.jpg,"2.5 cups all-purpose flour, 4 teaspoons baking powder, 2 teaspoons ground cinnamon, 1 teaspoon ground allspice, 1 teaspoon ground ginger, 0.5 teaspoon salt, 0.25 cup packed brown sugar, 1 cup canned pumpkin, 2 cups milk, 4 eggs, separated, 0.25 cup butter, melted, 0.5 cup white sugar, 1 tablespoon cornstarch, 1 teaspoon ground cinnamon, 1 cup apple cider, 1 tablespoon lemon juice, 2 tablespoons butter",breakfast,30,6,45
The Best Vegetable Salad,This vegetable salad uses a variety of fresh and colorful vegetables tossed in a pomegranate and herb dressing for a refreshingly tasty side dish.,"Step1: Place lettuce, radishes, tomatoes, green onion, jicama, cucumber, and bell pepper in a large salad bowl. Step2: Whisk olive oil, lemon juice, pomegranate juice, water, garlic, dill, basil, salt, and black pepper in a small bowl. Drizzle dressing over the salad just before serving.",17.jpg,"5 romaine lettuce leaves, torn into bite size pieces, 5 radishes, chopped, 2 fresh tomatoes, chopped, 2 green onion, minced, 1 small jicama, peeled and julienned, 1 cucumber, peeled and chopped, 1 red bell pepper, chopped, 2 tablespoons olive oil, 1.5 tablespoons lemon juice, 1 tablespoon pomegranate juice, 1.5 teaspoons water, 1 clove garlic, minced, 1 teaspoon chopped fresh dill, 1 teaspoon chopped fresh basil, 1 teaspoon salt, 1 teaspoon ground black pepper",breakfast,30,6,30
Old-Fashioned Potato Salad,"This classic potato salad recipe makes a creamy potato salad with hard-boiled eggs, celery, and relish. Perfect for summer BBQs, picnics, or potlucks.","Step1: Gather all ingredients. Step2: Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes. Step3: Drain, cool, peel, and chop potatoes. Step4: While potatoes cook, place eggs in a saucepan and cover with cold water. Bring water to a boil; cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Step5: Remove from hot water, cool, peel, and chop eggs. Step6: Combine the potatoes, eggs, celery, onion, relish, mayonnaise, mustard, garlic salt, celery salt, and pepper in a large bowl. Mix together well and refrigerate until chilled. Step7: Enjoy!",18.jpg,"5 potatoes, 3 eggs, 1 cup chopped celery, 0.5 cup chopped onion, 0.5 cup sweet pickle relish, 0.25 cup mayonnaise, 1 tablespoon prepared mustard, 0.25 teaspoon garlic salt, 0.25 teaspoon celery salt, ground black pepper to taste",breakfast,15,8,60
Simple Pasta Salad,"An easy pasta salad with Italian dressing, fresh veggies, and a sprinkle of cheese. The perfect simple yet yummy dish to bring to a picnic or potluck.","Step1: Gather all ingredients. Step2: Bring a large pot of lightly salted water to a boil. Place pasta in the pot, cook for 8 to 12 minutes, until al dente, and drain. Step3: Toss cooked pasta with Italian dressing, cucumbers, tomatoes, and green onions in a large bowl. Mix Parmesan cheese and Italian seasoning in a small bowl, and gently mix into the salad. Step4: Mix Parmesan cheese and Italian seasoning in a small bowl, and gently mix into the salad. Cover, and refrigerate for at least 30 minutes before serving. Step5: Enjoy!",19.jpg,"1 (16 ounce) package uncooked rotini pasta, 1 (16 ounce) bottle Italian salad dressing, 2 cucumbers, chopped, 6 tomatoes, chopped, 1 bunch green onions, chopped, 4 ounces grated Parmesan cheese, 1 tablespoon Italian seasoning",lunch,15,12,60
Caldo de Pollo,Caldo de pollo is a simple but richly-flavored chicken soup that&#39;s packed with vegetables and seasoned with garlic and lots of fresh cilantro.,"Step1: Place chicken legs into a large stockpot; pour water over chicken. Add minced garlic, salt, and garlic powder. Step2: Cover and bring to a boil over high heat. Reduce to a simmer and cook until chicken meat falls off the bones, 1 to 2 hours. Step3: Stir in chicken bouillon cube until dissolved; add carrots, potatoes, zucchini, chayote, and white onion. Reduce heat to medium-low and simmer until carrots and potatoes are tender, 45 minutes to 1 hour. Step4: Stir chopped cilantro into soup. Simmer for 5 minutes and serve.",20.jpg,"5 pounds chicken leg quarters, 2 gallons water, 2 tablespoons minced garlic, 2 tablespoons salt, 1 tablespoon garlic powder, 1 cube chicken bouillon, 4 large carrots, peeled and cut into large chunks, 4 large potatoes, peeled and cut into large chunks, 4 zucchini, cut into large chunks, 1 chayote, cut into large chunks, 1 large white onion, cut into large chunks, 0.5 bunch fresh cilantro, chopped",lunch,20,8,130
Fresh Tomato Soup,This tomato soup recipe is quick and easy to make for homemade fresh tomato soup; perfect when summer tomatoes are ripe in gardens and farmers&#39; markets.,"Step1: Gather all ingredients. Step2: Combine tomatoes, chicken broth, garlic cloves, and a large slice of onion in a stockpot over medium heat. Bring to a boil, and gently simmer for about 20 minutes to blend flavors. Step3: Remove from heat and run the mixture through a food mill into a large bowl, or pan. Discard any stuff left over in the food mill. Step4: Melt butter over medium heat in the now empty stockpot. Stir in flour to make a roux by cooking, whisking constantly, until mixture turns medium brown. Step5: Gradually whisk in a bit of the tomato mixture to prevent lumps from forming, then stir in the rest. Step6: Season with sugar and salt to taste. Step7: Serve hot and enjoy!",21.jpg,"4 cups chopped fresh tomatoes, 2 cups chicken broth, 4 cloves garlic, 1 slice onion, 2 tablespoons butter, 2 tablespoons all-purpose flour, 2 teaspoons white sugar, or to taste, 1 teaspoon salt",lunch,5,6,35
Hawaiian Ham and Cheese Sliders,"The best Hawaiian sliders with ham, cheese, sweet rolls, and a buttery poppy seed sauce. These are great for potlucks and quick and easy to prepare.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray. Step2: Melt butter in a saucepan over medium-low heat; cook and stir onion in the melted butter until softened, 5 to 10 minutes. Add mustard, poppy seeds, and Worcestershire sauce; cook and stir for 5 minutes. Step3: Arrange the roll bottoms in the prepared baking dish. Spoon 2/3 of the onion mixture over top. Add ham and cheese to each roll. Place the roll tops over the cheese layer, then brush the remaining onion mixture over top. Cover the dish with aluminum foil. Step4: Bake in the preheated oven for 15 minutes. Remove aluminum foil and bake until the roll tops are lightly browned, 5 to 10 minutes.",22.jpg,"cooking spray (such as Crisco®), 0.5 cup butter, 1 onion, minced, 3 tablespoons Dijon mustard, 1 tablespoon poppy seeds, 2 teaspoons Worcestershire sauce, or more to taste, 1 (12 count) package Hawaiian sweet rolls, split, or more as needed, 1 pound sliced deli ham, or more as needed, 8 slices Swiss cheese, or more as needed",lunch,15,12,50
Best Ramen Noodle Salad,"This ramen noodle salad with cabbage, almonds, and sunflower seeds is light and crunchy. A simple vinaigrette ties all the flavors together!","Step1: Preheat the oven to 350 degrees F (175 degrees C). Step2: Spread ramen noodles, sunflower seeds, and almonds onto a baking sheet. Step3: Bake noodle mixture in the preheated oven until fragrant and toasted, 10 to 15 minutes. Set aside to cool to room temperature. Step4: Combine coleslaw mix and green onions in a large bowl; sprinkle cooled noodle mixture over the top. Step5: Make dressing: Whisk olive oil, reserved ramen seasoning packets, vinegar, sugar, and black pepper together in a bowl until smooth. Step6: Pour dressing over noodle mixture and toss to coat.",23.jpg,"2 (3 ounce) packages chicken-flavored ramen noodles, broken into pieces, seasoning packets reserved, 0.5 cup raw sunflower seeds, 0.5 cup slivered almonds, 1 (16 ounce) package coleslaw mix, 3 green onions, chopped, 0.5 cup olive oil, 3 tablespoons white vinegar, 1 tablespoon white sugar, 0.5 teaspoon ground black pepper",lunch,15,6,55
Oxtails with Gravy,"This oxtail recipe is so flavorful from beef oxtail simmered slowly in a savory broth, then cooked in a delicious gravy until fall-of-the-bone tender.","Step1: Place oxtails, onion, garlic, Greek seasoning, 1 tablespoon salt, 1 teaspoon pepper, and seasoning salt in a large stockpot. Fill with enough water to cover oxtails and place over high heat. Bring to a boil. Cover and reduce heat to medium. Cook oxtails until tender, 2 1/2 to 3 hours. Remove from heat and reserve 2 cups broth. Step2: Warm bacon drippings or shortening in a skillet over medium heat. Add flour; cook and stir for 3 minutes. Step3: Stir in 2 cups reserved broth and browning sauce. Season with salt, pepper, and garlic powder. Cook, stirring constantly, until gravy thickens. Step4: Place oxtails in the skillet; stir to coat with gravy. Cook, stirring occasionally, over medium-low heat until warmed through, about 5 minutes.",24.jpg,"2 pounds beef oxtail, 1 onion, chopped, 1 clove garlic, minced, 1 tablespoon Greek seasoning, 1 tablespoon salt, or more to taste, 1 teaspoon ground black pepper, or more to taste, 1 teaspoon seasoning salt, 4 cups water, or as needed, 2 tablespoons bacon drippings or shortening, 2 tablespoons all-purpose flour, 2 dashes browning sauce, 1 pinch garlic powder, or to taste",dinner,10,6,175
Bacon Wrapped Turkey,"Turkey wrapped in bacon is a twist on the traditional main course of Thanksgiving dinner and only requires 4 ingredients for a tasty, flavorful bird.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Place a roasting rack in a large baking dish. Step2: Sprinkle sage and garlic powder over entire turkey. Wrap turkey completely with bacon. Place turkey on the rack in the prepared baking dish. Pour water into the dish. Step3: Bake turkey in the preheated oven, basting every 45 minutes with juices in the baking dish, until no longer pink at the bone and the juices run clear, 3 1/2 to 4 hours. An instant-read thermometer inserted into the thickest part of the thigh should read at least 165 degrees F (74 degrees C).",25.jpg,"0.25 cup dried sage, 2 tablespoons garlic powder, 1 (16 pound) whole turkey, neck and giblets removed, 2 (12 ounce) packages bacon, 2 cups water",dinner,30,32,240
